username,gender,state,user_agent_string,variation
paul45,F,AK,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.14.1 (KHTML, like Gecko) Version/5.0.2 Safari/531.14.1",control
samanthafreeman,M,WV,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_6; rv:1.9.2.20) Gecko/2011-05-15 06:36:45 Firefox/3.6.17",variation
erin32,F,NH,"Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2010-06-13 00:22:02 Firefox/3.6.10",control
joshua05,M,SC,"Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.1)",control
elizabeth58,M,CT,"Opera/8.47.(Windows NT 5.2; tig-ER) Presto/2.9.172 Version/10.00",control
mary82,F,WA,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_9 rv:2.0; mr-IN) AppleWebKit/534.26.1 (KHTML, like Gecko) Version/5.0 Safari/534.26.1",variation
alexandrayang,M,NC,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; kn-IN) AppleWebKit/531.41.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6531.41.7",control
hodgerichard,F,WI,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_6 rv:5.0; ar-SD) AppleWebKit/532.46.7 (KHTML, like Gecko) Version/5.0.2 Safari/532.46.7",control
mcdanielmichael,M,KS,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5321 (KHTML, like Gecko) Chrome/28.0.812.0 Safari/5321",control
brittany26,M,NC,"Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/4.0)",variation
brownsarah,F,AL,"Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/3.1)",control
clarkcarrie,F,IA,"Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.0)",control
harrisonvictoria,M,CO,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_1) AppleWebKit/5360 (KHTML, like Gecko) Chrome/28.0.838.0 Safari/5360",variation
ybaker,F,ND,"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/3.0)",control
torresdavid,M,OH,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/533.14.1 (KHTML, like Gecko) Version/5.0.1 Safari/533.14.1",variation
mosborn,F,DE,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5341 (KHTML, like Gecko) Chrome/58.0.818.0 Safari/5341",variation
kingkimberly,F,IN,"Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2018-05-25 21:58:11 Firefox/3.8",variation
greengina,M,DE,"Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2014-12-31 10:36:17 Firefox/7.0",variation
cochranbreanna,F,OR,"Opera/8.21.(Windows NT 6.1; an-ES) Presto/2.9.181 Version/10.00",variation
robertsnicole,F,IA,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.23.5 (KHTML, like Gecko) Version/5.0.3 Safari/531.23.5",control
dickersonroy,F,NY,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5352 (KHTML, like Gecko) Chrome/47.0.818.0 Safari/5352",variation
valenzueladaniel,F,AZ,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/533.23.4 (KHTML, like Gecko) Version/5.0.1 Safari/533.23.4",variation
billcarter,M,IN,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5351 (KHTML, like Gecko) Chrome/32.0.878.0 Safari/5351",variation
larry92,F,NV,"Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2018-08-06 21:46:04 Firefox/14.0",control
hinessarah,M,CO,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; is-IS) AppleWebKit/531.34.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.34.6",control
tammycampbell,F,SD,"Opera/9.67.(Windows CE; lg-UG) Presto/2.9.188 Version/12.00",variation
rrobinson,M,CO,"Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.1)",variation
angela02,F,DE,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5342 (KHTML, like Gecko) Chrome/15.0.886.0 Safari/5342",variation
christy25,F,ND,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/531.12.3 (KHTML, like Gecko) Version/4.1 Safari/531.12.3",control
jamie19,M,MN,"Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.0)",control
joy51,M,MN,"Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/3.1)",control
smithjeff,F,WV,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_0) AppleWebKit/5312 (KHTML, like Gecko) Chrome/47.0.826.0 Safari/5312",control
cindy88,M,AZ,"Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2011-11-27 13:43:46 Firefox/3.8",variation
imcfarland,M,KY,"Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.1)",variation
james63,F,OH,"Opera/9.88.(Windows NT 5.01; hr-HR) Presto/2.9.174 Version/12.00",control
jacobskaitlyn,F,MS,"Opera/8.80.(Windows NT 5.0; mr-IN) Presto/2.9.180 Version/12.00",variation
cherylhernandez,M,TX,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_3) AppleWebKit/5320 (KHTML, like Gecko) Chrome/43.0.835.0 Safari/5320",control
orangel,F,CA,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; mag-IN) AppleWebKit/532.47.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6532.47.3",control
kirkjohn,F,IA,"Opera/8.11.(X11; Linux i686; ps-AF) Presto/2.9.169 Version/10.00",variation
paulaphillips,F,MN,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_1; rv:1.9.2.20) Gecko/2011-09-22 12:15:20 Firefox/14.0",variation
abrown,M,LA,"Opera/8.22.(X11; Linux i686; lb-LU) Presto/2.9.176 Version/10.00",variation
lewisashley,F,TX,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_2) AppleWebKit/5340 (KHTML, like Gecko) Chrome/34.0.882.0 Safari/5340",control
torresjames,F,PA,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ka-GE) AppleWebKit/532.48.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6532.48.4",variation
brendabrown,M,MT,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5360 (KHTML, like Gecko) Chrome/32.0.837.0 Safari/5360",variation
matthewsamanda,F,CO,"Mozilla/5.0 (Windows NT 5.0; iu-CA; rv:1.9.2.20) Gecko/2015-07-31 19:16:02 Firefox/13.0",variation
toddmiller,F,LA,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_7 rv:5.0; et-EE) AppleWebKit/533.29.2 (KHTML, like Gecko) Version/4.0.5 Safari/533.29.2",variation
smithjake,M,IL,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_7 rv:5.0; xh-ZA) AppleWebKit/534.32.7 (KHTML, like Gecko) Version/5.0.5 Safari/534.32.7",control
juan61,M,MD,"Opera/8.89.(Windows NT 5.1; fil-PH) Presto/2.9.186 Version/12.00",variation
edward62,F,MO,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_5) AppleWebKit/5360 (KHTML, like Gecko) Chrome/62.0.873.0 Safari/5360",variation
hendrixdylan,F,AZ,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; tg-TJ) AppleWebKit/532.17.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6532.17.3",control
gary42,F,GA,"Opera/9.18.(X11; Linux x86_64; ts-ZA) Presto/2.9.177 Version/12.00",control
bradley97,M,CT,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; as-IN) AppleWebKit/531.1.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6531.1.1",variation
wilsonjason,M,TN,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_2 rv:2.0; nhn-MX) AppleWebKit/531.29.4 (KHTML, like Gecko) Version/4.1 Safari/531.29.4",variation
davisdavid,M,DC,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_8) AppleWebKit/5332 (KHTML, like Gecko) Chrome/31.0.862.0 Safari/5332",variation
thomasthompson,M,NC,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/531.10.7 (KHTML, like Gecko) Version/5.1 Safari/531.10.7",control
dale82,F,HI,"Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2012-04-23 02:05:00 Firefox/3.8",variation
stephanienelson,F,IL,"Opera/8.33.(X11; Linux x86_64; kn-IN) Presto/2.9.165 Version/10.00",variation
qnguyen,M,MD,"Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2018-06-10 20:53:51 Firefox/3.6.17",variation
ortizholly,F,FL,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/5352 (KHTML, like Gecko) Chrome/22.0.816.0 Safari/5352",variation
vcook,F,TN,"Opera/9.68.(Windows 95; mr-IN) Presto/2.9.189 Version/11.00",control
jasminewoods,F,MI,"Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2016-10-26 06:38:51 Firefox/3.8",control
bjohnston,F,MD,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1 rv:3.0; unm-US) AppleWebKit/533.38.4 (KHTML, like Gecko) Version/4.1 Safari/533.38.4",variation
autumnshaffer,F,NM,"Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0)",control
richardadams,F,VA,"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.1)",variation
garciamichele,M,VA,"Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/3.1)",control
miguel94,F,MT,"Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.1)",variation
leslie77,M,NC,"Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.0)",variation
nicholas76,F,DE,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_5) AppleWebKit/5361 (KHTML, like Gecko) Chrome/18.0.860.0 Safari/5361",variation
thompsonmark,M,FL,"Mozilla/5.0 (Windows 95; bhb-IN; rv:1.9.2.20) Gecko/2014-09-30 05:37:38 Firefox/3.6.14",variation
xarmstrong,F,WV,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5320 (KHTML, like Gecko) Chrome/59.0.858.0 Safari/5320",control
julie54,F,UT,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_1 rv:3.0; mn-MN) AppleWebKit/533.23.2 (KHTML, like Gecko) Version/4.1 Safari/533.23.2",control
joseph46,M,HI,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5341 (KHTML, like Gecko) Chrome/18.0.823.0 Safari/5341",control
noconnell,M,WA,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; el-GR) AppleWebKit/532.40.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6532.40.7",control
mirandaroberson,F,CO,"Mozilla/5.0 (Windows NT 5.2; id-ID; rv:1.9.0.20) Gecko/2015-03-20 17:38:42 Firefox/12.0",control
johnmcconnell,M,RI,"Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2012-03-18 23:19:38 Firefox/3.8",control
christina26,F,MO,"Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.0)",control
smurray,F,MI,"Mozilla/5.0 (Windows 98; Win 9x 4.90; sk-SK; rv:1.9.0.20) Gecko/2016-12-15 20:38:04 Firefox/3.6.15",control
campbellelizabeth,F,IA,"Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2017-01-26 00:30:46 Firefox/3.8",variation
pramirez,F,SD,"Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/4.1)",control
donna33,M,MI,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; be-BY) AppleWebKit/534.4.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6534.4.1",variation
crystalreed,M,CA,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5310 (KHTML, like Gecko) Chrome/21.0.840.0 Safari/5310",control
pamelabarnes,M,MN,"Opera/9.90.(X11; Linux i686; pap-AW) Presto/2.9.161 Version/10.00",control
mcfarlandandrew,F,DE,"Opera/8.94.(X11; Linux i686; yi-US) Presto/2.9.180 Version/11.00",variation
hooverjeff,M,MN,"Opera/9.13.(X11; Linux i686; wal-ET) Presto/2.9.178 Version/10.00",variation
johnsmith,M,MS,"Mozilla/5.0 (Windows NT 5.01; niu-NZ; rv:1.9.0.20) Gecko/2018-11-04 12:14:33 Firefox/7.0",variation
mackenziegonzalez,F,CA,"Opera/8.70.(X11; Linux i686; zu-ZA) Presto/2.9.163 Version/10.00",variation
andrea48,F,NC,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5322 (KHTML, like Gecko) Chrome/34.0.849.0 Safari/5322",variation
pughrebecca,M,ND,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_5; rv:1.9.5.20) Gecko/2015-05-28 14:03:52 Firefox/7.0",variation
rbradford,F,LA,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_2; rv:1.9.2.20) Gecko/2015-01-11 22:34:14 Firefox/15.0",variation
lindseysmith,F,NH,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_3 rv:5.0; as-IN) AppleWebKit/535.25.7 (KHTML, like Gecko) Version/5.0 Safari/535.25.7",variation
jeremyhooper,F,AL,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_9; rv:1.9.6.20) Gecko/2011-10-01 13:20:00 Firefox/3.6.8",control
antoniowilliams,F,MT,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/534.27.5 (KHTML, like Gecko) Version/4.0 Safari/534.27.5",control
wayne85,F,GA,"Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/4.0)",control
amy28,F,VT,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_8 rv:5.0; mhr-RU) AppleWebKit/533.16.2 (KHTML, like Gecko) Version/5.0.2 Safari/533.16.2",variation
dramirez,F,MO,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/5350 (KHTML, like Gecko) Chrome/51.0.865.0 Safari/5350",control
michaelwilliams,F,WI,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; pl-PL) AppleWebKit/533.34.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6533.34.5",variation
jasminecooper,F,NM,"Opera/8.15.(X11; Linux i686; hu-HU) Presto/2.9.182 Version/12.00",control
khodge,M,CO,"Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2011-03-08 12:18:41 Firefox/15.0",variation
morrisonhannah,M,AR,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_3; rv:1.9.5.20) Gecko/2012-08-04 15:26:51 Firefox/14.0",variation
michaelwilliamson,M,VA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0 rv:6.0; ug-CN) AppleWebKit/532.4.6 (KHTML, like Gecko) Version/5.0 Safari/532.4.6",variation
idavis,M,HI,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_1 rv:3.0; hsb-DE) AppleWebKit/532.39.7 (KHTML, like Gecko) Version/4.1 Safari/532.39.7",variation
carterdavid,F,MS,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.1)",variation
angelamartinez,F,SC,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/5332 (KHTML, like Gecko) Chrome/53.0.890.0 Safari/5332",variation
ryanantonio,F,UT,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.832.0 Safari/5331",variation
ycervantes,F,CT,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.0)",variation
alexandermatthew,M,NM,"Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2013-11-14 06:41:15 Firefox/3.6.19",control
tellis,M,ME,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_4; rv:1.9.2.20) Gecko/2016-07-04 03:22:45 Firefox/3.8",control
